 time_step hot_sigma q_25_hot_br_sigma q_75_hot_br_sigma hot_wr_sigma q_25_hot_wr_sigma q_75_hot_wr_sigma cold_sigma q_25_cold_br_sigma q_75_cold_br_sigma cold_wr_sigma q_25_cold_wr_sigma q_75_cold_wr_sigma
126 2252.0 8.04458 7.92416 8.146445 0.003722238511357834 0.0017987540882488317 0.009956261828747263 8.02883 7.8411349999999995 8.15738 0.002899935471733691 0.001896627439049251 0.006378523229474468
127 2254.0 8.04458 7.92416 8.146445 0.0037605331871675947 0.0017528428194261824 0.008606296565748264 8.02883 7.840915 8.15738 0.0030652227443373776 0.001832852511257039 0.006231704642596973
128 2256.0 8.04458 7.92416 8.146445 0.003743609542716287 0.001768306357645622 0.008610671357335847 8.02883 7.840915 8.15738 0.003037217176993082 0.001593249310753111 0.005929286695680743
129 2258.0 8.05205 7.914795 8.146445 0.0038164870078067313 0.001845791646739341 0.009035898716163527 8.02883 7.840915 8.15738 0.0029979280332822033 0.001460242692573798 0.0059793115908334735
130 2260.0 8.05205 7.917235 8.146445 0.00396722618895812 0.0017917152713408785 0.009277966387208528 8.02883 7.840915 8.15738 0.002960070859957268 0.0013889161139671547 0.005797896799371578
131 2262.0 8.06761 7.914795 8.146445 0.003665129689072971 0.0016829824602755743 0.009712917453251847 8.02883 7.840915 8.15738 0.0032340145286690446 0.0014216725586434686 0.006238105060815067
132 2264.0 8.06761 7.917235 8.146445 0.0036976236011222255 0.0018196073624403308 0.009611560007042302 8.02883 7.840915 8.15738 0.003212804388940025 0.001281981593407169 0.006011986402717516
133 2266.0 8.0702 7.92416 8.163665 0.003717067795757502 0.0019466072215703475 0.009726968389628249 8.02883 7.840915 8.15738 0.003181153981130133 0.0014436586787327614 0.006363590549453259
134 2268.0 8.0702 7.92416 8.163665 0.003836497435279236 0.0019302116797109085 0.009767886029434542 8.02883 7.840915 8.15738 0.0029286624922479874 0.0014025630494968627 0.005850273483236504
135 2270.0 8.05205 7.92416 8.146445 0.00394549228338309 0.002073999619008362 0.010254792356318177 8.02883 7.840915 8.15738 0.0027755999935540716 0.0015264030538042722 0.005880611606810478
136 2272.0 8.0709 7.92416 8.17829 0.0036867223188558505 0.0020730733823365903 0.01039657119409703 8.02883 7.840915 8.15738 0.0027262893265241044 0.0016429604174039523 0.005603177070421166
137 2274.0 8.0702 7.917235 8.163665 0.003950624775864366 0.0022259405377309384 0.01012661450662384 8.02883 7.840915 8.15738 0.0026646715303125785 0.001621088825058632 0.005672173926891841
138 2276.0 8.0702 7.914795 8.148465 0.003714312597170649 0.002134885748147266 0.009735477509027018 8.02883 7.840915 8.15738 0.0027577636557097407 0.001658404787747873 0.005971619191854867
139 2278.0 8.0702 7.92416 8.163665 0.004041269108296421 0.0022554764967663826 0.009161228213840997 8.02883 7.840915 8.15738 0.002813146165600596 0.001670765951011087 0.006237369198258804
140 2280.0 8.0709 7.92416 8.16547 0.0038101005515436825 0.002235224809046983 0.009880963616259428 8.02883 7.840915 8.157315 0.0028022502968442246 0.001610898958537956 0.006401395006702611
