max_pf 77 min_pf 48
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
2196 0.568864 -0.00100344 -0.0603551 0.01 60 60 0 0 0
2219 0.593172 -0.000929781 -0.0715909 0.01 60 60 0 0 0
2234 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2241 0.610326 -0.000877799 -0.0638371 0.01 60 59 0 0 0
2255 0.58194 -0.000963817 -0.0746017 0.01 60 60 0 0 0
2261 0.611629 -0.000873853 -0.00428066 0.01 75 75 0 0 0
2288 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2289 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2290 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2295 0.57768 -0.000976728 -0.0700262 0.01 50 50 0 0 0
2299 0.570284 -0.000999139 -0.0669103 0.01 48 48 0 0 0
2308 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
2324 0.547774 -0.00106735 -0.069637 0.01 60 60 0 0 0
2337 0.513327 -0.00117174 -0.064621 0.01 60 61 0 0 0
2342 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
2348 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2373 0.586281 -0.000950663 -0.0352423 0.01 60 59 0 0 0
2377 0.572648 -0.000991974 -0.0669103 0.01 49 49 0 0 0
2387 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2404 0.58194 -0.000963817 -0.0282972 0.01 60 60 0 0 0
2429 0.58694 -0.000948668 -0.0669103 0.01 49 49 -6.55502e-05 0.000107288 0
2456 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
2459 0.6151 -0.000863332 -0.00940262 0.01 75 75 0 0 0
2467 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2493 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
2509 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2512 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2523 0.578079 -0.000975517 -0.0669103 0.01 50 50 0 0 0
2524 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2525 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2526 0.55879 -0.00103397 -0.0641952 0.01 60 60 0 0 0
2527 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
2539 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
2541 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
