	time	range_hot	range_cold
977	3954	102	50
978	3956	99	50
979	3958	99	50
980	3960	99	50
981	3962	99	50
982	3964	99	50
983	3966	99	50
984	3968	99	50
985	3970	99	50
986	3972	99	50
987	3974	99	50
988	3976	99	50
989	3978	99	50
990	3980	99	50
991	3982	99	50
992	3984	99	50
993	3986	99	50
994	3988	99	50
995	3990	99	50
996	3992	99	50
997	3994	99	50
998	3996	99	50
999	3998	99	50
